Season,Age,Team,G,PPG,RPG,APG,FG%,3P%,PER,WS,VORP
2000-01,20,CHI,61,4.6,1.5,2.3,35.2,35.0,11.1,1.4,0.0
2001-02,21,CHI,23,9.3,1.5,2.4,47.6,34.6,14.3,1.4,0.5
2002-03,22,CHI,80,10.7,2.3,4.2,41.3,35.5,14.0,3.0,0.9
2003-04,23,CHI,80,17.3,3.5,5.1,38.6,30.0,16.8,4.6,2.5
2004-05,24,NYK,70,17.7,2.9,4.3,39.8,34.7,15.7,4.4,1.9
2005-06,25,NYK,79,14.3,3.1,3.8,41.6,36.7,14.3,5.2,1.3
2006-07,26,NYK,59,17.6,3.2,4.4,40.0,35.9,15.6,5.8,1.8
2007-08,27,NYK,80,20.6,2.6,5.0,41.0,36.0,16.8,7.0,3.1
2008-09,28,GSW,65,19.7,3.0,4.4,41.0,35.8,15.5,4.6,1.5
2009-10,29,ATL,79,18.0,2.5,3.0,44.9,38.2,16.0,5.4,2.1
2010-11,30,ATL,76,14.2,1.7,3.2,42.1,34.1,14.0,4.8,1.2
2011-12,31,POR,60,14.0,2.0,3.2,38.4,30.8,14.2,2.8,0.7
2012-13,32,LAC,76,16.5,1.7,2.5,43.8,37.6,16.8,5.3,1.9
2013-14,33,LAC,69,18.6,2.3,3.2,41.6,36.1,16.8,4.9,2.0
2014-15,34,LAC,64,15.8,1.9,2.5,39.6,32.7,15.3,4.2,1.2
2015-16,35,LAC,79,14.2,1.8,2.3,40.4,34.0,15.3,4.8,1.4
2016-17,36,LAC,82,12.3,1.6,2.6,41.3,36.0,14.0,3.9,0.7
2017-18,37,MIN,80,10.3,1.2,2.3,41.5,33.1,12.1,2.1,-0.1
2018-19,38,PHO,64,7.9,1.3,3.6,39.7,33.2,10.3,0.9,-0.5
2019-20,39,BRK,1,5.0,0.0,3.0,50.0,0.0,5.0,0.0,0.0
