Season,Age,Team,G,PPG,RPG,APG,FG%,3P%,PER,WS,VORP
2005-06,19,PHI,30,1.9,0.6,0.3,44.2,22.2,8.8,0.3,-0.1
2006-07,20,PHI,61,4.3,1.1,1.8,44.1,32.4,13.3,2.0,0.5
2007-08,21,PHI,80,11.5,2.1,3.2,42.4,35.9,17.3,5.3,2.5
2008-09,22,PHI,81,12.8,2.0,3.0,39.8,28.6,16.8,4.9,2.0
2009-10,23,PHI,64,14.0,2.9,4.2,47.0,34.0,19.7,6.3,3.0
2010-11,24,PHI,75,13.7,2.0,3.4,40.6,34.0,17.7,5.1,2.1
2011-12,25,PHI,64,14.9,2.4,3.5,40.7,36.2,20.2,6.0,2.7
2012-13,26,ATL,39,14.1,2.1,3.6,42.2,36.7,17.0,2.5,1.0
2013-14,27,ATL,60,10.4,2.1,3.5,40.0,34.2,15.4,2.8,0.9
2014-15,28,TOR,80,15.5,1.9,2.1,40.4,34.0,19.9,6.7,2.7
2015-16,29,LAL,67,15.3,2.5,2.5,40.8,34.4,18.8,5.9,2.1
2016-17,30,LAL/HOU,81,17.5,3.0,3.0,42.9,36.5,18.6,7.7,2.6
2017-18,31,LAC,79,22.6,2.5,5.3,43.5,35.9,22.6,8.3,3.9
2018-19,32,LAC,75,20.0,3.0,5.4,42.5,36.1,21.2,7.1,3.2
2019-20,33,LAC,65,18.2,3.1,5.6,41.8,35.2,19.2,5.4,2.2
2020-21,34,LAC/ATL,66,11.3,2.1,3.4,41.0,39.9,15.4,3.5,1.0
2021-22,35,ATL,56,6.3,1.6,1.9,39.1,36.3,11.9,1.6,0.0
